"noemp","nom","prenom","dateemb","nosup","titre","nodep","salaire","tauxcom"
"1","patamob","adhémar","2000-03-26 00:00:00",NULL,"président","50","50000",NULL
"2","zeublouse","agathe","2000-04-15 00:00:00","1","dir.distrib","41","35000",NULL
"3","kuzbidon","alex","2000-05-05 00:00:00","1","dir.vente","31","34000",NULL
"4","locale","anasthasie","2000-05-25 00:00:00","1","dir.finance","10","36000",NULL
"5","teutmaronne","armand","2000-06-14 00:00:00","1","dir.administratif","50","36000",NULL
"6","zoudanlkou","debbie","2000-07-04 00:00:00","2","chef entrepot","41","25000",NULL
"7","rivenbusse","elsa","2000-07-24 00:00:00","2","chef entrepot","42","24000",NULL
"8","ardelpic","helmut","2000-08-13 00:00:00","2","chef entrepot","43","23000",NULL
"9","peursconla","humphrey","2000-09-02 00:00:00","2","chef entrepot","44","22000",NULL
"10","vrante","helena","2000-09-22 00:00:00","2","chef entrepot","45","21000",NULL
"11","melusine","enfaillite","2000-10-12 00:00:00","3","représentant","31","25000","10"
"12","eurktumeme","odile","2000-11-01 00:00:00","3","représentant","32","26000","12"
"13","hotdeugou","olaf","2000-11-21 00:00:00","3","représentant","33","27000","10"
"14","odlavieille","pacome","2000-12-11 00:00:00","3","représentant","34","25000","15"
"15","amartakaldire","quentin","2000-12-21 00:00:00","3","représentant","35","23000","17"
"16","traibien","samira","2000-12-31 00:00:00","6","secrétaire","41","15000",NULL
"17","fonfec","sophie","2001-01-10 00:00:00","6","secrétaire","41","14000",NULL
"18","fairent","teddy","2001-01-20 00:00:00","7","secrétaire","42","13000",NULL
"19","blaireur","terry","2001-02-09 00:00:00","7","secrétaire","42","13000",NULL
"20","ajerre","tex","2001-02-09 00:00:00","8","secrétaire","43","13000",NULL
"21","chmonfisse","thierry","2001-02-19 00:00:00","8","secrétaire","43","12000",NULL
"22","phototetedemort","thomas","2001-02-19 00:00:00","9","secrétaire","44","22500",NULL
"23","kaecoute","xavier","2001-03-01 00:00:00","9","secrétaire","34","11500",NULL
"24","adrouille-toutltan","yves","2001-03-11 00:00:00","10","secrétaire","45","11000",NULL
"25","anchier","yvon","2001-03-21 00:00:00","10","secrétaire","45","10000",NULL
